Drink	Fl oz	Calories	Caffeine	Mg / floz
28 Black Energy Drink	8.46	125	80	9.5
3 Water	16.9	0	50	3
3D Energy Drink	16	15	200	12.5
4 Purpose Energy Drink	8.46	70	70	8.3
4C Energy Drink Mix	16.9	15	170	10.1
5 Hour Energy	1.93	4	200	103.6
5 Hour Energy Extra Strength	1.93	0	230	119.2
7 Eleven Brewed Coffee	16	5	280	17.5
7-Eleven Energy Shot	2	0	260	130
7-Up	12	140	0	0
A Shoc	16	10	250	15.6
A&W Cream Soda	12	170	0	0
A&W Root Beer	12	170	0	0
A&W Zero Sugar Cream Soda	12	0	0	0
ABB Turbo Tea Zero	18	0	120	6.7
Accelerator	12	10	150	12.5
Advocare Slam Energy Shot	2	10	120	60
Advocare Slim	8	0	120	15
Afri Cola	11.16	139	83	7.4
AHA Sparkling Water	12	0	30	2.5
Alani Nu Energy Drink	12	10	200	16.7
Ale 8 1	12	120	37	3.1
ALL IN Energy Drink	12	25	75	6.2
Alpine Start Instant Coffee	8	0	120	15
Alsa Energy Drink Mix	16	30	100	6.2
Americano Coffee	12	5	154	12.8
AMIN.O. Energy Drink	12	5	100	8.3
Amino Force Energy Drink	22	0	200	9.1
Arbonne Energy Fizz Stck	8	15	55	6.9
Arby's Jamocha Shake	16	830	12	0.7
Arizona Arnold Palmer Half and Half	16.9	180	15	0.9
Arizona Energy Drink Rx	11.5	130	127	11
Arizona Iced Tea	16	190	30	1.9
Arti Sparkling Water	12	0	120	10
AXIO Energy Drink Mix	12	0	100	8.3
Bai Antioxidant Infusion	18	10	55	3.1
Bai Boost	11.47	10	110	9.6
Balance Active Shot	2	80	100	50
Balance Energy Shot	2	77	150	75
Bang Energy	16	0	300	18.8
Bang Keto Coffee	16	130	300	18.8
Bang Natural	16	0	250	15.6
Bang Shot	3	0	300	100
Bang Sweet Tea	16	0	300	18.8
Barista Bros Iced Coffee	16.91	204	140	8.3
Barqs Red Creme Soda	12	170	0	0
Barqs Root Beer	12	160	22	1.8
Baskin Robbins Cappuccino Blast	24	470	234	9.8
Bawls	16	190	102	6.4
BE Beyond Energy Drink	12	15	160	13.3
Beaver Buzz Energy Drink	16	240	178	11.1
BEEBAD Energy Drink	8.46	110	80	9.5
Berocca	8	5	90	11.2
Berzerk Energy Drink Mix	16	5	200	12.5
Best Choice Strawberry Energy Drink Mix	8	5	120	15
Big Red Soda	12	150	34	2.8
Big Train Java Chip Ice Coffee	12	410	49	4.1
Big Train Spiced Chai	8	210	65	8.1
Bigelow Tea	8	0	45	5.6
Biggby Brewed Coffee	16	0	200	12.5
Biggby Creamy Lattes	16	387	100	6.2
Biggby Espresso	2	0	100	50
Biggby Iced Coffee	16	0	155	9.7
Biggby Iced Tea	16	0	38	2.4
Bing Energy Drink	12	30	120	10
Biohazard Coffee	12	3	928	77.3
Bizzy Cold Brew	2.67	0	125	46.8
Black Bruin Energy Drink	8.46	122	38	4.4
Black Ink Coffee	12	0	144	12
Black Insomnia Coffee	12	0	1105	92.1
Black Label Brewed Coffee	12	0	1555	129.6
Blu Frog Energy Drink	8.46	90	80	9.5
Blue Bolt (UK)	8.46	112	80	9.5
Blue Charge (UK)	8.46	49	80	9.5
Blue Spark (UK)	8.46	56	75	8.9
Bodyarmour Edge	20	180	100	5
Bomb Energy Drink	8.46	0	80	9.5
Bomba (EU)	8.4	123	80	9.5
Boost Energy (UK)	8.46	58	80	9.5
Boost Nutritional Drink	8	240	5	0.6
Bottled Iced Coffee Dunkin Donuts	13.7	260	171	12.5
BreinFuel	12	60	360	30
Brew Dr Kombucha Uplift	14	80	130	9.3
Brisk Iced Tea	12	70	11	0.9
Brown Rice Tea	8	0	4	0.5
Bubbl'r Sparkling Water	12	5	69	5.8
Bubly Bounce Sparkling Water	12	0	35	2.9
Bubly Sparkling Water	12	0	0	0
Bucked Up	16	0	300	18.8
Bulletproof Coffee	8	0	145	18.1
Burn Energy Drink	12	163	112	9.3
C4 On The Go	12	0	200	16.7
C4 Performance Energy	16	0	200	12.5
C4 Smart Energy Drink	16	0	200	12.5
C4 Ultimate Energy Drink	16	0	300	18.8
Cafe Bustelo	12	0	150	12.5
Cafe Con Leche	6	56	154	25.7
Caffe Mocha	12	239	152	12.7
Caffe Nero Coffee	12	5	160	13.3
Califia Farms Cold Brew Coffee	8	10	180	22.5
Canada Dry Green Tea Ginger Ale	12	140	9	0.8
Cannonball Coffee Maximum Charge (UK)	12	0	1101	91.8
Cappuccino	12	97	154	12.8
Carabao Energy Drink (UK)	11.16	63	106	9.5
Caribou BOUsted Sparkling Water	11.5	0	75	6.5
Caribou Brewed Coffee	16	5	305	19.1
Caribou Canned Cold Brew	11.5	10	177	15.4
CBD Coffee	8	0	100	12.5
Celsius Energy Drink	12	10	200	16.7
Celsius Stevia	12	15	200	16.7
Chai Tea	8	0	50	6.2
Chameleon Cold Brew Coffee	8	15	260	32.5
Chameleon Cold Brew RTD	10	10	230	23
Chameleon Cold Brew With Milk	11	100	100	9.1
Cheerwine	12	150	47	3.9
Chick-fil-A Brewed Coffee	10	0	136	13.6
Chick-fil-A Frosted Coffee	14	240	130	9.3
Chick-fil-A Iced Coffee	14	190	80	5.7
Chick-fil-A Iced Tea	16	120	62	3.9
Choffy (roasted cacao)	6	0	23	3.8
Cintron Energy Drink	8.4	60	85	10.1
Clif Shot Energy Gel	1.2	100	100	83.3
Club Mate (EU)	16.91	160	100	5.9
Coca-Cola Caffeine Free	12	140	0	0
Coca-Cola Cherry	12	150	34	2.8
Coca-Cola Cherry Vanilla	12	140	34	2.8
Coca-Cola Cherry Zero Sugar	12	0	34	2.8
Coca-Cola Classic	12	140	34	2.8
Coca-Cola Energy	12	140	114	9.5
Coca-Cola Orange Vanilla	12	140	34	2.8
Coca-Cola Vanilla	12	150	34	2.8
Coca-Cola Vanilla Zero Sugar	12	0	34	2.8
Coca-Cola With Coffee	12	70	69	5.8
Coca-Cola Zero Sugar	12	0	34	2.8
Cocaine Energy Drink	12	90	280	23.3
Coffee	8	0	163	20.4
Coffee (Decaf, Instant)	8	6	2	0.3
Coffee (Instant)	8	0	57	7.1
Coffee Bean & Tea leaf Coffee	16	5	333	20.8
Coffee Friend Brewed Coffee	8.46	0	145	17.1
Coffee Leaf Tea	8	0	20	2.5
COGO Caffeinated Hot Chocolate	6	110	98	16.3
Cold Brew Tea	8	0	70	8.8
CoolBrew Coffee	10	0	60	6
Costa Coffee	10.14	222	241	23.8
Cran Energy Juice	10	40	70	7
Crave Energy Drink (UK)	8.43	10	80	9.5
Crio Bru Brewed Cacao	8	20	10	1.2
Crunk Energy Drink	16	200	192	12
Crystal Light Energy Mix	16	10	60	3.8
Crystal Light Iced Tea	8	5	10	1.2
Dare Iced Coffee	16.91	429	160	9.5
Dark Dog Organic Energy	12	110	114	9.5
Death Wish Canned Cold Brew	8	15	300	37.5
Death Wish Coffee	12	0	728	60.7
Death Wish Latte	8	170	300	37.5
Decaf Coffee	8	2	6	0.7
Demon Energy Drink	16.91	253	160	9.5
Devils Brew Extreme Caffeine Coffee	12	0	1325	110.4
Diet Barqs Root Beer	12	0	0	0
Diet Cheerwine	12	0	47	3.9
Diet Coke	12	0	46	3.8
Diet Coke with Splenda	12	0	46	3.8
Diet Dr Pepper	12	0	41	3.4
Diet Mountain Dew	12	0	54	4.5
Diet Pepsi	12	0	35	2.9
Diet RC Cola	12	0	48	4
Diet Wild Cherry Pepsi	12	0	38	3.2
doc Soda	12	150	60	5
Double Cola	12	160	36	3
Dr Pepper	12	150	42	3.5
Dr Pepper 10	12	10	51	4.2
Dr Shasta Soda	12	0	29	2.4
Driftaway Coffee	8	0	160	20
Dripdash Kyoto Coffee	6	0	225	37.5
Duff Energy Drink	12	170	120	10
